"Actor","Source","ID","Title","Year","Rated","Type","Actors","Genre","Metascore","imdbRating","imdbVotes","tomatoMeter","tomatoRating","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","BoxOffice","Production"
"Eddie Redmayne","Oscars","tt0343737","The Good Shepherd","2006","R","movie","Matt Damon, Angelina Jolie, Alec Baldwin, Tammy Blanchard","Drama, History, Thriller","61","6.7","86,405","54","6.1","51","3.1","182022","$59.8M","Universal Pictures"
"Eddie Redmayne","Oscars","tt0425196","Like Minds","2006","PG-13","movie","Eddie Redmayne, Tom Sturridge, Toni Collette, Richard Roxburgh","Crime, Horror, Mystery","N/A","6.4","3,686","38","4.5","64","3.6","2930","N/A","The Weinstein Company"
"Eddie Redmayne","Oscars","tt0465326","Elizabeth I","2005","TV-MA","series","Helen Mirren, Hugh Dancy, Toby Jones, Patrick Malahide","Biography, Drama, History","N/A","8.1","5,130","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Eddie Redmayne","Oscars","tt0241383","Doctors","2000–","N/A","series","Diane Keen, Adrian Lewis Morgan, Jan Pearson, Stirling Gallacher","Drama","N/A","5.2","696","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Eddie Redmayne","Oscars","tt0159154","Animal Ark","1997–","N/A","series","Karianne Henderson, James Simmons, Alison Sterling, Gwilym Lee","Adventure","N/A","7.9","11","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Matthew McConaughey","Oscars","tt1648190","The Dark Tower","2017","N/A","movie","Katheryn Winnick, Idris Elba, Matthew McConaughey, Jackie Earle Haley","Adventure, Fantasy, Sci-Fi","N/A","N/A","N/A","N/A","N/A","N/A","N/A","2787","N/A","Sony Pictures"
"Matthew McConaughey","Oscars","tt3470600","Sing","2016","N/A","movie","Scarlett Johansson, Taron Egerton, Matthew McConaughey, Reese Witherspoon","Animation, Comedy, Musical","N/A","N/A","N/A","N/A","N/A","N/A","N/A","30","N/A","Universal Pictures"
"Matthew McConaughey","Oscars","tt4302938","Kubo and the Two Strings","2016","N/A","movie","Rooney Mara, Charlize Theron, Matthew McConaughey, Ralph Fiennes","Animation, Adventure, Family","N/A","N/A","N/A","N/A","N/A","N/A","N/A","4400","N/A","Focus Features"
"Matthew McConaughey","Oscars","tt1800302","Gold","2016","N/A","movie","Corey Stoll, Bryce Dallas Howard, Matthew McConaughey, Edgar Ramirez","Adventure, Drama, Thriller","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Matthew McConaughey","Oscars","tt1124037","Free State of Jones","2016","R","movie","Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell","Action, Biography, Drama","N/A","7.0","107","N/A","N/A","N/A","N/A","8357","N/A","STX Entertainment"
"Matthew McConaughey","Oscars","tt3450900","The Sea of Trees","2015","PG-13","movie","Matthew McConaughey, Naomi Watts, Katie Aselton, Jordan Gavaris","Drama","20","4.8","842","0","2.4","N/A","N/A","195","N/A","N/A"
"Matthew McConaughey","Oscars","tt0320037","Jimmy Kimmel Live!","2003–","TV-14","series","Jimmy Kimmel","Comedy, Music, Talk-Show","N/A","6.9","8,198","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Matthew McConaughey","Oscars","tt0816692","Interstellar","2014","PG-13","movie","Ellen Burstyn, Matthew McConaughey, Mackenzie Foy, John Lithgow","Adventure, Drama, Sci-Fi","74","8.6","910,366","71","7.0","85","4.1","168080","N/A","Paramount Pictures"
"Matthew McConaughey","Oscars","tt2356777","True Detective","2014–","TV-MA","series","Matthew McConaughey, Colin Farrell, Woody Harrelson, Rachel McAdams","Crime, Drama, Mystery","N/A","9.1","319,125","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Matthew McConaughey","Oscars","tt0993846","The Wolf of Wall Street","2013","R","movie","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey","Biography, Comedy, Crime","75","8.2","766,948","77","7.7","82","4.0","177089","N/A","Paramount Studios"
"Matthew McConaughey","Oscars","tt0790636","Dallas Buyers Club","2013","R","movie","Matthew McConaughey, Jennifer Garner, Jared Leto, Denis O'Hare","Biography, Drama","84","8.0","321,295","94","7.8","91","4.2","90782","N/A","Focus Features"
"Matthew McConaughey","Oscars","tt3352248","Synthesizers","2013","N/A","movie","Matthew McConaughey, Butch Walker, Maika Monroe, Elizabeth Mathis","Short, Comedy","N/A","7.5","261","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Matthew McConaughey","Oscars","tt1915581","Magic Mike","2012","R","movie","Matthew McConaughey, Channing Tatum, Olivia Munn, Alex Pettyfer","Comedy, Drama","72","6.1","107,926","80","6.9","60","3.5","143977","$113.7M","Warner Bros. Pictures"
"Matthew McConaughey","Oscars","tt1935179","Mud","2012","PG-13","movie","Matthew McConaughey, Reese Witherspoon, Tye Sheridan, Jacob Lofland","Drama","76","7.4","133,170","98","8.0","80","3.9","86281","$21.6M","Lionsgate/Roadside Attractions"
"Matthew McConaughey","Oscars","tt1496422","The Paperboy","2012","R","movie","Zac Efron, Matthew McConaughey, Nicole Kidman, John Cusack","Drama, Thriller","45","5.8","28,641","43","5.1","33","2.8","16916","$0.7M","Millenium Films"
"Matthew McConaughey","Oscars","tt0866442","Eastbound & Down","2009–2013","TV-MA","series","Danny McBride, Steve Little, Katy Mixon, Elizabeth De Razzo","Comedy, Drama, Sport","N/A","8.3","41,200","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Matthew McConaughey","Oscars","tt1726669","Killer Joe","2011","R","movie","Matthew McConaughey, Emile Hirsch, Juno Temple, Thomas Haden Church","Crime, Drama, Romance","62","6.7","58,441","78","6.8","61","3.4","79753","$1.8M","Independent Pictures"
"Matthew McConaughey","Oscars","tt1704573","Bernie","2011","PG-13","movie","Jack Black, Shirley MacLaine, Matthew McConaughey, Brady Coleman","Comedy, Crime, Drama","75","6.8","44,891","90","7.5","72","3.7","40942","$5.9M","Millenium Entertainment"
"Matthew McConaughey","Oscars","tt1189340","The Lincoln Lawyer","2011","R","movie","Matthew McConaughey, Marisa Tomei, Ryan Phillippe, William H. Macy","Crime, Drama, Thriller","63","7.3","172,306","83","6.6","82","3.8","67868","$57.9M","Lionsgate Films"
"Matthew McConaughey","Oscars","tt0821640","Ghosts of Girlfriends Past","2009","PG-13","movie","Matthew McConaughey, Jennifer Garner, Michael Douglas, Breckin Meyer","Comedy, Fantasy, Romance","34","5.7","66,857","27","4.2","40","3.1","290192","$55.2M","Warner Bros. Pictures"
"Matthew McConaughey","Oscars","tt0976247","Surfer, Dude","2008","R","movie","Matthew McConaughey, Alexie Gilmore, Jeffrey Nordling, Woody Harrelson","Comedy","16","4.7","7,307","0","2.8","25","2.4","7423","N/A","Anchor Bay Entertainment"
"Matthew McConaughey","Oscars","tt0942385","Tropic Thunder","2008","R","movie","Jeff Kahn, Robert Downey Jr., Anthony Ruivivar, Jack Black","Comedy","71","7.0","304,934","83","7.1","70","3.5","294777","$110.4M","DreamWorks/Paramount Studios"
"Matthew McConaughey","Oscars","tt0770752","Fool's Gold","2008","PG-13","movie","Matthew McConaughey, Kate Hudson, Donald Sutherland, Alexis Dziena","Action, Adventure, Comedy","29","5.6","58,518","11","3.6","48","3.1","356411","$70.2M","Warner Bros. Pictures"
"Matthew McConaughey","Oscars","tt0758794","We Are Marshall","2006","PG","movie","Matthew McConaughey, Matthew Fox, Anthony Mackie, David Strathairn","Drama, Sport","53","7.1","46,280","49","5.8","79","3.6","202565","$43.5M","Warner Bros. Pictures"
"Matthew McConaughey","Oscars","tt0427229","Failure to Launch","2006","PG-13","movie","Matthew McConaughey, Sarah Jessica Parker, Zooey Deschanel, Justin Bartha","Comedy, Romance","47","5.6","57,638","24","4.6","52","3.1","438146","$88.7M","Paramount Pictures"
"Matthew McConaughey","Oscars","tt0417217","Two for the Money","2005","R","movie","Al Pacino, Matthew McConaughey, Rene Russo, Armand Assante","Drama, Sport, Thriller","50","6.2","36,525","22","4.7","48","3.1","85422","$22.9M","Universal Pictures"
"Matthew McConaughey","Oscars","tt0401623","Magnificent Desolation: Walking on the Moon 3D","2005","UNRATED","movie","Tom Hanks, John Corbett, Andrew Husmann, Bryan Cranston","Documentary, Animation, Short","71","7.1","786","88","7.2","77","3.7","1833","$32.5M","Imax Corporation"
"Matthew McConaughey","Oscars","tt0318649","Sahara","2005","PG-13","movie","Matthew McConaughey, Steve Zahn, Penélope Cruz, William H. Macy","Action, Adventure, Comedy","41","6.0","76,875","39","5.2","54","3.0","213311","$68.6M","Paramount Pictures"
"Matthew McConaughey","Oscars","tt0316768","Tiptoes","2003","R","movie","Gary Oldman, Peter Dinklage, Kate Beckinsale, Matthew McConaughey","Comedy, Drama, Romance","N/A","4.7","3,626","29","4.2","22","2.5","3252","N/A","Sony Pictures Entertainment"
"Matthew McConaughey","Oscars","tt0251127","How to Lose a Guy in 10 Days","2003","PG-13","movie","Kate Hudson, Matthew McConaughey, Kathryn Hahn, Annie Parisse","Comedy, Romance","45","6.4","153,935","42","5.0","77","3.4","801634","$105.8M","Paramount Pictures"
"Matthew McConaughey","Oscars","tt0361185","Freedom: A History of Us","2003–","N/A","series","Katie Couric, Eric Foner, Philip Bosco, Tom Hanks","Documentary, History","N/A","6.2","263","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Matthew McConaughey","Oscars","tt0253556","Reign of Fire","2002","PG-13","movie","Christian Bale, Matthew McConaughey, Izabella Scorupco, Gerard Butler","Action, Adventure, Fantasy","39","6.2","106,647","40","5.2","49","3.0","131864","$42.9M","Buena Vista Distribution Compa"
"Matthew McConaughey","Oscars","tt0264616","Frailty","2001","R","movie","Bill Paxton, Matthew McConaughey, Powers Boothe, Matt O'Leary","Crime, Drama, Thriller","64","7.3","59,173","73","6.8","79","3.5","52471","$13.1M","Lions Gate Films"
"Matthew McConaughey","Oscars","tt0268690","Thirteen Conversations About One Thing","2001","R","movie","Matthew McConaughey, David Connolly, Joseph Siravo, A.D. Miles","Drama","74","7.1","8,543","83","7.3","71","3.4","8234","$3.0M","Sony Pictures Classics"
"Matthew McConaughey","Oscars","tt0209475","The Wedding Planner","2001","PG-13","movie","Jennifer Lopez, Matthew McConaughey, Bridgette Wilson-Sampras, Justin Chambers","Comedy, Romance","33","5.2","60,627","N/A","N/A","0","2.1","62","N/A","Cinedigm"
"Matthew McConaughey","Oscars","tt0159206","Sex and the City","1998–2004","TV-MA","series","Sarah Jessica Parker, Kim Cattrall, Kristin Davis, Cynthia Nixon","Comedy, Romance","N/A","7.0","79,170","N/A","N/A","N/A","N/A","1","N/A","N/A"
"Matthew McConaughey","Oscars","tt0141926","U-571","2000","PG-13","movie","Matthew McConaughey, Bill Paxton, Harvey Keitel, Jon Bon Jovi","Action, War","62","6.6","64,884","68","6.3","62","3.2","56514","N/A","Universal Studios Home Video"
"Matthew McConaughey","Oscars","tt3430280","Bonne Nuit","1999","N/A","movie","Isabelle Adjani, Lucie Arnaz, Olivia Bonamy, Annalyn Miriam Cyrus","Horror, Thriller","N/A","3.3","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Matthew McConaughey","Oscars","tt0131369","Edtv","1999","PG-13","movie","Matthew McConaughey, Jenna Elfman, Woody Harrelson, Sally Kirkland","Comedy, Drama","48","6.1","35,413","63","6.3","29","2.6","60972","N/A","Universal Studios"
"Matthew McConaughey","Oscars","tt0118375","King of the Hill","1997–2010","TV-PG","series","Mike Judge, Kathy Najimy, Pamela Adlon, Johnny Hardwick","Animation, Comedy, Drama","N/A","7.2","35,493","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Matthew McConaughey","Oscars","tt0146197","The Rebel","1998","N/A","movie","Matthew McConaughey","Short, Comedy","N/A","5.6","40","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Matthew McConaughey","Oscars","tt0119600","Making Sandwiches","1998","N/A","movie","Sandra Bullock, Matthew McConaughey, Eric Roberts, Beth Grant","Short","N/A","5.8","186","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Matthew McConaughey","Oscars","tt0120769","The Newton Boys","1998","PG-13","movie","Matthew McConaughey, Skeet Ulrich, Ethan Hawke, Gail Cronauer","Action, Crime, Drama","57","6.0","8,179","62","6.3","44","3.0","10010","N/A","Twentieth Century Fox Home Entertainment"
"Matthew McConaughey","Oscars","tt0118607","Amistad","1997","R","movie","Morgan Freeman, Nigel Hawthorne, Anthony Hopkins, Djimon Hounsou","Drama, History","63","7.2","55,943","76","6.9","79","3.5","50739","N/A","Dreamworks Distribution LLC"
"Matthew McConaughey","Oscars","tt0118884","Contact","1997","PG","movie","Jena Malone, David Morse, Jodie Foster, Geoffrey Blake","Drama, Mystery, Sci-Fi","62","7.4","197,613","62","6.8","78","3.2","202704","N/A","Warner Home Video"
"Matthew McConaughey","Oscars","tt0116823","Larger Than Life","1996","PG","movie","Jerry Adler, Bill Murray, Richard Alan Baker, Richie Allan","Comedy, Family","N/A","5.5","5,286","11","4.0","29","2.6","7713","N/A","MGM Home Entertainment"
"Matthew McConaughey","Oscars","tt0117913","A Time to Kill","1996","R","movie","Matthew McConaughey, Sandra Bullock, Samuel L. Jackson, Kevin Spacey","Crime, Drama, Thriller","54","7.4","98,280","67","6.1","86","3.6","94556","N/A","Warner Home Video"
"Matthew McConaughey","Oscars","tt0116905","Lone Star","1996","R","movie","Stephen Mendillo, Stephen J. Lang, Chris Cooper, Elizabeth Peña","Drama, Mystery","78","7.6","23,021","93","8.6","83","3.8","9449","N/A","Sony Pictures Home Entertainment"
"Matthew McConaughey","Oscars","tt0113493","Judgement","1995","N/A","movie","Clarence Williams III, Matthew McConaughey, Illeana Douglas, Duane Clark","Crime, Drama, Thriller","N/A","6.9","106","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Matthew McConaughey","Oscars","tt0114573","Submission","1995","N/A","movie","Erica Bennett, John Evans, Joseph R. Gannascoli, Valeria Golino","Short","N/A","7.5","78","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Matthew McConaughey","Oscars","tt0114366","Scorpion Spring","1995","R","movie","Angel Aviles, Rubén Blades, Jessika Cardinahl, Jose Chaidez","Crime, Thriller","N/A","4.7","234","N/A","N/A","0","2.7","88","N/A","Distant Horizon"
"Matthew McConaughey","Oscars","tt0116422","Glory Daze","1995","R","movie","Ben Affleck, Sam Rockwell, Megan Ward, French Stewart","Comedy","N/A","5.6","2,912","N/A","N/A","44","3.0","2532","N/A","Sony Pictures Home Entertainment"
"Matthew McConaughey","Oscars","tt0112571","Boys on the Side","1995","R","movie","Whoopi Goldberg, Mary-Louise Parker, Drew Barrymore, Matthew McConaughey","Comedy, Drama","61","6.4","9,500","73","6.0","69","3.2","35136","N/A","Warner Home Video"
"Matthew McConaughey","Oscars","tt0110978","Texas Chainsaw Massacre: The Next Generation","1994","R","movie","Renée Zellweger, Matthew McConaughey, Robert Jacks, Tonie Perensky","Comedy, Horror, Thriller","N/A","3.1","15,115","17","3.2","18","2.4","30946","N/A","Sony Pictures Home Entertainment"
"Matthew McConaughey","Oscars","tt0109127","Angels in the Outfield","1994","PG","movie","Danny Glover, Brenda Fricker, Tony Danza, Christopher Lloyd","Comedy, Family, Fantasy","N/A","6.0","22,005","35","4.2","49","3.0","353508","N/A","Buena Vista Pictures"
"Matthew McConaughey","Oscars","tt0107626","My Boyfriend's Back","1993","PG-13","movie","Andrew Lowery, Traci Lind, Danny Zorn, Edward Herrmann","Comedy, Fantasy, Horror","N/A","5.3","3,299","14","2.9","47","2.7","7174","N/A","Buena Vista"
"Matthew McConaughey","Oscars","tt0106677","Dazed and Confused","1993","R","movie","Jason London, Joey Lauren Adams, Milla Jovovich, Shawn Andrews","Comedy","78","7.7","117,092","94","7.8","90","3.8","234622","N/A","Gramercy Pictures"
"Matthew McConaughey","Oscars","tt0094574","Unsolved Mysteries","1987–2010","TV-PG","series","Robert Stack, Dennis Farina","Crime, Drama, Horror","N/A","8.4","2,835","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Daniel Day-Lewis","Oscars","tt0443272","Lincoln","2012","PG-13","movie","Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt","Biography, Drama, History","86","7.4","195,103","90","8.0","81","4.0","244536","N/A","Dreamworks Pictures"
"Daniel Day-Lewis","Oscars","tt0875034","Nine","2009","PG-13","movie","Daniel Day-Lewis, Sandro Dori, Nicole Kidman, Marion Cotillard","Drama, Musical, Romance","49","5.9","37,200","38","5.1","37","2.9","109353","$19.6M","The Weinstein Co."
"Daniel Day-Lewis","Oscars","tt0469494","There Will Be Blood","2007","R","movie","Daniel Day-Lewis, Martin Stringer, Matthew Braden Stringer, Jacob Stringer","Drama","92","8.1","368,017","91","8.4","86","4.0","252335","$40.1M","Paramount Vantage"
"Daniel Day-Lewis","Oscars","tt0357110","The Ballad of Jack and Rose","2005","R","movie","Camilla Belle, Daniel Day-Lewis, Catherine Keener, Ryan McDonald","Drama","59","6.7","9,328","47","5.7","62","3.4","8279","$0.6M","IFC Films"
"Daniel Day-Lewis","Oscars","tt0217505","Gangs of New York","2002","R","movie","Leonardo DiCaprio, Daniel Day-Lewis, Cameron Diaz, Jim Broadbent","Crime, Drama, History","72","7.5","311,111","75","7.1","81","3.5","292325","$77.6M","Miramax Films"
"Daniel Day-Lewis","Oscars","tt0118760","The Boxer","1997","R","movie","Daniel Day-Lewis, Daragh Donnelly, Frank Coughlan, Sean Kearns","Drama, Romance, Sport","75","7.1","14,018","80","7.2","75","3.5","8135","N/A","Universal Pictures"
"Daniel Day-Lewis","Oscars","tt0115988","The Crucible","1996","PG-13","movie","Daniel Day-Lewis, Winona Ryder, Paul Scofield, Joan Allen","Drama, History","N/A","6.8","28,436","67","7.3","66","3.2","31608","N/A","Fox"
"Daniel Day-Lewis","Oscars","tt0107207","In the Name of the Father","1993","R","movie","Alison Crosbie, Daniel Day-Lewis, Philip King, Emma Thompson","Biography, Drama, History","84","8.1","107,903","94","7.8","95","4.0","40781","N/A","Universal Pictures"
"Daniel Day-Lewis","Oscars","tt0106226","The Age of Innocence","1993","PG","movie","Daniel Day-Lewis, Michelle Pfeiffer, Winona Ryder, Linda Faye Farkas","Drama, Romance","83","7.2","35,780","80","7.3","76","3.5","23460","N/A","Columbia Pictures"
"Daniel Day-Lewis","Oscars","tt0104691","The Last of the Mohicans","1992","R","movie","Daniel Day-Lewis, Madeleine Stowe, Russell Means, Eric Schweig","Action, Adventure, Drama","76","7.8","111,478","94","7.9","88","3.6","206604","N/A","Twentieth Century Fox Home Entertainment"
"Daniel Day-Lewis","Oscars","tt0097302","Eversmile, New Jersey","1989","PG","movie","Daniel Day-Lewis, Mirjana Jokovic, Gabriela Acher, Julio De Grazia","Comedy, Drama, Romance","N/A","5.7","499","N/A","N/A","50","3.1","286","N/A","Media Home Entertainment"
"Daniel Day-Lewis","Oscars","tt0097937","My Left Foot","1989","R","movie","Daniel Day-Lewis, Brenda Fricker, Alison Whelan, Kirsten Sheridan","Biography, Drama","N/A","7.9","48,767","97","8.2","92","4.0","26173","N/A","HBO Video"
"Daniel Day-Lewis","Oscars","tt0096166","Stars and Bars","1988","R","movie","Daniel Day-Lewis, Harry Dean Stanton, Kent Broadhurst, Maury Chaykin","Comedy","N/A","4.8","652","N/A","N/A","39","3.2","282","N/A","Columbia Pictures Corporation"
"Daniel Day-Lewis","Oscars","tt0096332","The Unbearable Lightness of Being","1988","R","movie","Daniel Day-Lewis, Juliette Binoche, Lena Olin, Derek de Lint","Drama, Romance","N/A","7.4","26,496","95","8.2","85","3.9","19120","N/A","Orion Home Video"
"Daniel Day-Lewis","Oscars","tt0091608","Nanou","1986","N/A","movie","Imogen Stubbs, Jean-Philippe Écoffey, Christophe Lindon, Valentine Pelka","Drama, Romance","N/A","6.3","108","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Daniel Day-Lewis","Oscars","tt0297626","Screen Two","1985–2002","N/A","series","Geoffrey Chater, Roger Brierley, Roger Hammond, Bernard Hill","N/A","N/A","7.0","75","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Daniel Day-Lewis","Oscars","tt0091867","A Room with a View","1985","UNRATED","movie","Maggie Smith, Helena Bonham Carter, Denholm Elliott, Julian Sands","Drama, Romance","80","7.4","29,188","100","8.4","86","3.9","24854","N/A","Cinecom Pictures"
"Daniel Day-Lewis","Oscars","tt0244086","My Brother Jonathan","1985–","N/A","series","Daniel Day-Lewis, Benedict Taylor, Helen Ryan, Caroline Bliss","Drama","N/A","7.4","35","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Daniel Day-Lewis","Oscars","tt0091578","My Beautiful Laundrette","1985","R","movie","Daniel Day-Lewis, Richard Graham, Winston Graham, Dudley Thomas","Comedy, Drama, Romance","N/A","6.9","10,472","100","8.3","75","3.7","6980","N/A","Orion Classics"
"Daniel Day-Lewis","Oscars","tt0086993","The Bounty","1984","PG","movie","Mel Gibson, Anthony Hopkins, Laurence Olivier, Edward Fox","Action, Adventure, Drama","N/A","7.0","17,770","82","6.3","72","3.4","10195","N/A","MGM"
"Daniel Day-Lewis","Oscars","tt0165593","BBC Play of the Month","1965–1983","N/A","series","Charles Gray, Lally Bowers, John Gielgud, Eric Porter","Drama","N/A","7.6","63","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Daniel Day-Lewis","Oscars","tt0083987","Gandhi","1982","PG","movie","Ben Kingsley, Candice Bergen, Edward Fox, John Gielgud","Biography, Drama, History","N/A","8.1","169,564","88","8.0","92","4.0","49319","N/A","Columbia Pictures"
"Daniel Day-Lewis","Oscars","tt0233760","Frost in May","1982","N/A","movie","Elizabeth Shepherd, John Carson, Janet Maw, Daniel Day-Lewis","Drama","N/A","8.1","12","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Daniel Day-Lewis","Oscars","tt0762803","BBC2 Playhouse","1973–1983","N/A","series","Ralph Morse, John Bluthal, Gawn Grainger, Denholm Elliott","Drama","N/A","6.6","54","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Daniel Day-Lewis","Oscars","tt0082030","Artemis 81","1981","N/A","movie","Hywel Bennett, Dinah Stabb, Dan O'Herlihy, Sting","Drama, Sci-Fi, Thriller","N/A","6.3","114","N/A","N/A","50","2.2","24","N/A","N/A"
"Daniel Day-Lewis","Oscars","tt1533751","Thank You, P.G. Wodehouse","1981","N/A","movie","Michael Aldridge, Ballard Berkeley, James Bree, Jonathan Cecil","N/A","N/A","7.0","8","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Daniel Day-Lewis","Oscars","tt0078690","Shoestring","1979–1980","N/A","series","Trevor Eve, Michael Medwin, Doran Godwin, Liz Crowther","Drama","N/A","7.4","180","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Daniel Day-Lewis","Oscars","tt0067805","Sunday Bloody Sunday","1971","R","movie","Peter Finch, Glenda Jackson, Murray Head, Peggy Ashcroft","Drama","N/A","7.2","3,860","92","7.7","72","3.5","2596","N/A","United Artists"
"Jean Dujardin","Oscars","tt3371366","Transformers: The Last Knight","2017","N/A","movie","Mark Wahlberg, Josh Duhamel, Isabela Moner, Stephen Merchant","Action, Adventure, Sci-Fi","N/A","N/A","N/A","N/A","N/A","N/A","N/A","1244","N/A","N/A"
"Jean Dujardin","Oscars","tt5029602","Brice de Nice 3","2016","N/A","movie","Jean Dujardin, Clovis Cornillac, Aaron Brumfield, Anteo Quintavalle","Comedy","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Jean Dujardin","Oscars","tt4699388","Up for Love","2016","N/A","movie","Jean Dujardin, Virginie Efira, Cédric Kahn, Stéphanie Papanian","Comedy, Romance","N/A","6.2","205","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Jean Dujardin","Oscars","tt1918911","Un + une","2015","N/A","movie","Jean Dujardin, Elsa Zylberstein, Christopher Lambert, Alice Pol","Adventure, Comedy","N/A","6.2","393","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Jean Dujardin","Oscars","tt2935564","The Connection","2014","R","movie","Jean Dujardin, Gilles Lellouche, Céline Sallette, Mélanie Doutey","Action, Crime, Thriller","67","7.1","5,958","76","6.5","71","3.6","1722","N/A","Drafthouse Films"
"Jean Dujardin","Oscars","tt2177771","The Monuments Men","2014","PG-13","movie","George Clooney, Matt Damon, Bill Murray, Cate Blanchett","Drama, War","52","6.1","100,470","31","5.2","44","3.1","72629","N/A","Sony Pictures"
"Jean Dujardin","Oscars","tt2040020","Platane","2011–","N/A","series","Eric Judor, Arnaud Henriet, Hafid F. Benamar, Romain Berger","N/A","N/A","7.2","254","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Jean Dujardin","Oscars","tt2807730","Le débarquement","2013–","N/A","series","Jean Dujardin, Gilles Lellouche, Philippe Lellouche, Nicolas Bedos","Comedy","N/A","6.0","31","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Jean Dujardin","Oscars","tt0993846","The Wolf of Wall Street","2013","R","movie","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey","Biography, Comedy, Crime","75","8.2","766,948","77","7.7","82","4.0","177089","N/A","Paramount Studios"
"Jean Dujardin","Oscars","tt2853614","9-Month Stretch","2013","N/A","movie","Albert Dupontel, Sandrine Kiberlain, Nicolas Marié, Philippe Uchan","Comedy","N/A","6.5","3,325","N/A","N/A","N/A","N/A","179","N/A","Wild Bunch Distribution"
"Jean Dujardin","Oscars","tt2106550","Möbius","2013","R","movie","Jean Dujardin, Cécile De France, Tim Roth, Émilie Dequenne","Drama, Thriller","N/A","6.1","3,828","N/A","N/A","42","3.0","266","N/A","Grindstone Entertainment"
"Jean Dujardin","Oscars","tt2087850","The Players","2012","R","movie","Jean Dujardin, Gilles Lellouche, Géraldine Nakache, Priscilla de Laforcade","Comedy","43","5.3","6,358","33","4.4","27","2.6","902","N/A","The Weinstein Company"
"Jean Dujardin","Oscars","tt0072562","Saturday Night Live","1975–","TV-14","series","Don Pardo, Lenny Pickett, Darrell Hammond","Comedy, Music","N/A","8.2","32,549","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Jean Dujardin","Oscars","tt2167961","Touch of Evil","2011","N/A","movie","Jessica Chastain, George Clooney, Glenn Close, Viola Davis","Short","N/A","7.1","334","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Jean Dujardin","Oscars","tt1655442","The Artist","2011","PG-13","movie","Jean Dujardin, Bérénice Bejo, John Goodman, James Cromwell","Comedy, Drama, Romance","89","8.0","187,764","97","8.8","87","4.2","57498","$44.7M","The Weinstein Company"
"Jean Dujardin","Oscars","tt1533813","A View of Love","2010","N/A","movie","Jean Dujardin, Marie-Josée Croze, Toni Servillo, Sandrine Kiberlain","Drama, Mystery, Romance","N/A","6.2","985","N/A","N/A","47","3.0","235","N/A","EuropaCorp. Distribution"
"Jean Dujardin","Oscars","tt1440232","Little White Lies","2010","NOT RATED","movie","François Cluzet, Marion Cotillard, Benoît Magimel, Gilles Lellouche","Comedy, Drama","50","7.1","17,970","41","5.8","64","3.5","4818","$0.2M","MPI Media"
"Jean Dujardin","Oscars","tt1517214","The Clink of Ice","2010","N/A","movie","Jean Dujardin, Albert Dupontel, Anne Alvaro, Myriam Boyer","Comedy, Drama","N/A","6.2","1,725","80","5.5","41","2.9","323","N/A","Wild Bunch Distribution"
"Jean Dujardin","Oscars","tt1235536","Lucky Luke","2009","N/A","movie","Jean Dujardin, Michaël Youn, Sylvie Testud, Daniel Prévost","Adventure, Comedy, Western","N/A","4.8","2,938","N/A","N/A","22","2.5","325","N/A","UGC Distribution"
